region,village,district,source_name,lab_identifier_code,source_type,easting,northing,latitude,longitude,ecoli,ph,electrical_conductivity,turbidity,color_apparent,total_dissolved_salts,total_alkalinity,bi_carbonates,total_hardness,calcium_hardness,magnesium_hardness,flouride,chloride,sulphate,nitrites,nitrates_n,ammonium_n,phosphates_p,water_quality
Eastern,Bugembe,Jinja,Kilikwani tap,E23/00103,Tap,526362,51478,0.465733503,33.23691573,0,6.9,103,2.34,22,0,43,0,33,18,0,0.26236,0,4.10009,0.01509,0.3225,0.16075,0.03779,not admissible
Eastern,Masese,Jinja,Ndiba Roseline tap,E23/00104,Tap,526349,49702,0.449665627,33.23679838,0,6.7,111,2.23,20,0,48,0,35,19,0,0.22605,0,3.72661,0.00318,2.49162,0.002,0.09726,not admissible
Eastern,Masese,Jinja,Ndiba Roseline tap,E23/00104,Tap,526921,48543,0.449665627,33.23679838,0,6.8,101,2.92,15,0,41,0,27,19,0,0.25573,0,4.27461,0.0076,0.51466,0.03963,0.05778,not admissible
Eastern,Rubaga hill,Jinja,Jinja college Borehole,E23/00109,Bore Hole,523658,49584,0.448598801,33.21261446,0,6.6,648,2.12,4,0,175,0,310,125,0,0.6697,0,69.27158,0.00678,6.686,0.002,0.99905,not admissible
Eastern,Mpumudde,Jinja,Mpumudde mosque B/H,E22/00110,Bore Hole,523831,51559,0.466467063,33.21416973,0,6.8,1041,3.48,27,0,320,0,430,230,0,0.681,0,62.21922,0.08142,17.75154,0.02197,0.05519,not admissible
Eastern,Mawuta,Jinja,Mawuta B/H C046,E23/00111,Bore Hole,524050,54463,0.492740194,33.2161387,0,6.9,1393,6.25,75,0,350,0,730,400,0,0.31554,0,233.9129,0.01351,0.31634,0.002,0.11509,not admissible
Eastern,Nsube,Jinja,Nsube B/H,E23/00112,Bore Hole,524435,61008,0.551954261,33.21960076,0,6.5,492,1.91,1,0,230,0,220,105,0,0.26735,0,21.39238,0.00658,6.69617,0.002,0.04659,not admissible
Eastern,Mutai,Jinja,Mutai S/W,E23/00113,Protected Spring Well,524220,61707,0.558278353,33.21766876,0,6,292,1.85,1,0,91,0,120,60,0,0.27796,0,27.93701,0.00355,6.14984,0.04345,0.11088,not admissible
Eastern,Mutai,Jinja,Mutai S/W,E23/00113,Protected Spring Well,523590,62539,0.558278353,33.21766876,0,6.7,106,2.11,11,0,41,0,36,16,0,0.29205,0,4.95072,0.00256,0.51079,0.02983,0.10657,not admissible
Eastern,Kagoma,Jinja,Kagoma protected spring,E23/00115,Protected Spring Well,522300,65456,0.592197107,33.20041469,0,5.4,198,2.37,6,0,38,0,62,38,0,0.05172,0,14.85099,0.00502,7.59498,0.00394,0.02826,not admissible
Eastern,Nalufenya,Jinja,AGM Tap,E23/00117,Tap,521619,48543,0.43918112,33.19428979,0,6.8,104,2.43,22,0,46,0,33,20,0,0.28131,0,4.89396,0.03649,0.22467,0.11817,0.02851,not admissible
Eastern,Butakanila,Bugiri,Shallow well at prison mosque@district HQ,E23/00090,Unprotected Spring Well,583492,60709,0.549205786,33.75033418,0,7,246,2.69,57,0,125,0,110,95,0,0.4069,0,5.12238,0.15106,0.71488,1.62681,0.29374,not admissible
Eastern,Buyubu,Bugiri,Buyubu Shallow well,E23/00091,Unprotected Spring Well,582815,59414,0.537491286,33.74424896,0,6.7,585,2.22,21,0,330,0,97,47,0,0.09621,0,11.87691,0.01788,0.38758,0.38375,0.52461,not admissible
Eastern,Kikabala,Bugiri,Kikabala Primary School Borehole,E23/00092,Bore Hole,582485,58571,0.529865413,33.74128254,0,6.6,533,2.75,36,0,290,0,220,125,0,0.00564,0,4.48113,0.00224,0.27989,0.01781,0.16367,not admissible
Eastern,Lubila,Bugiri,Lubila open well,E23/00093,Unprotected Spring Well,583041,57880,0.523613655,33.74627822,0,5.7,218,3.98,29,0,98,0,105,77,0,0.19449,0,7.09486,0.01352,2.28204,0.03977,0.02301,not admissible
Eastern,Bukonde,Bugiri,Bukonde protected spring,E23/00094,Protected Spring Well,585561,62233,0.56299025,33.76892875,0,5.6,139,4.37,66,0,50,0,48,29,0,0.24617,0,3.92465,0.00315,5.32393,0.01966,0.01978,not admissible
Eastern,Nawambidi,Bugiri,Namasele Shallow wll,E23/00095,Unprotected Spring Well,593155,57813,0.522995996,33.83716513,0,6.8,376,2.05,18,0,165,0,145,105,0,0.43464,0,10.16964,0.00844,4.51209,0.03491,0.07286,admissible
Eastern,Nawambidi A,Bugiri,Galidde Simon PSP,E23/00096,Tap,592960,57742,0.522353941,33.83541274,0,6.6,692,1.84,4,0,360,0,300,165,0,0.43982,0,31.55526,0.01605,2.52018,0.01546,0.33127,not admissible
Eastern,Namayemba,Bugiri,Abdul PSP,E23/00097,Tap,589049,56897,0.514714322,33.80026677,0,6.6,694,1.87,2,0,350,0,300,185,0,0.36287,0,26.91282,0.00584,2.44874,0.02757,0.09782,not admissible
Eastern,Namayemba East,Bugiri,Owino Ben protected spring,E23/00098,Protected Spring Well,587948,58204,0.526539261,33.79037439,0,5.8,208,2.39,16,0,77,0,90,60,0,0.32835,0,3.23099,0.00516,4.91619,0.002,0.12485,not admissible
Eastern,Ndifakulya,Bugiri,Gamulunguka protected spring,E23/00099,Protected Spring Well,582906,63846,0.577585429,33.74507176,0,4.9,255,2.03,2,0,20,0,75,33,0,0.08023,0,4.55691,0.00356,15.90426,0.002,0.13348,not admissible
Eastern,Ndifakulya,Bugiri,Gamulunguka protected spring,E23/00099,Protected Spring Well,582857,63591,0.577585429,33.74507176,0,4.9,166,2.39,12,0,17,0,48,24,0,0.0064,0,1.10713,0.04979,10.31733,0.04933,0.02928,not admissible
Eastern,Kimombasa,Bugiri,Kimombasa Kiosk PSP,E23/00101,Tap,582819,63213,0.571859075,33.7442892,0,7.2,532,5.86,88,0,280,0,87,39,0,0.48323,0,14.4673,0.00054,2.17129,0.002,0.27431,not admissible
Eastern,Musongola,Bugiri,Nandhubu Samuel Shallow well,E23/00102,Unprotected Spring Well,583153,61851,0.559537308,33.74728909,0,5.2,154,2.49,4,0,31,0,57,31,0,0.10689,0,1.37298,0.01351,7.40649,0.0101,0.04595,not admissible
Eastern,Masaba Igenge,Iganga,"Magafira ,mosque Shallow well",E23/00075,Unprotected Spring Well,547731,64050,0.579463895,33.4289642,0,4.9,162,1.67,1,0,12,0,26,15,0,0.12436,0,38.72499,0.00502,4.28754,0.10471,0.02535,not admissible
Eastern,CMS,Iganga,CMS shallow well,E23/00076,Unprotected Spring Well,550339,65890,0.596108577,33.45240347,0,5.3,384,1.74,6,0,31,0,110,69,0,0.09494,0,10.72362,0.05365,19.27067,0.02561,0.10437,not admissible
Eastern,Kasokoso estate,Iganga,Resource centre Busoga University Borehole,E23/00077,Bore Hole,552757,67752,0.612952235,33.47413534,0,6,926,1.85,2,0,110,0,250,170,0,0.12398,0,34.90636,0.19221,36.42471,2.03609,0.04292,not admissible
Eastern,Igulusa,Iganga,Igulusa Shallow well,E23/00079,Unprotected Spring Well,553164,70624,0.638934852,33.47779538,0,5.4,240,2.71,12,0,58,0,75,48,0,0.18074,0,23.90872,0.0313,5.57916,0.08384,0.10178,not admissible
Eastern,Namungalwe T/C,Iganga,Mukama protected spring,E23/00081,Protected Spring Well,554297,78825,0.713128095,33.48798504,0,5.9,151,2.41,20,0,44,0,53,29,0,0.18223,0,1.89453,0.00573,8.13293,0.01444,0.05082,not admissible
Eastern,Nambale,Iganga,Nambale B/H,E23/00082,Bore Hole,556071,86301,0.780761334,33.50393586,0,6,231,1.94,19,0,92,0,67,34,0,0.23051,0,27.05817,0.00379,0.72995,0.03851,0.14343,not admissible
Eastern,Nambale,Iganga,Nambale B/H,E23/00082,Bore Hole,556034,86571,0.780761334,33.50393586,0,5.6,218,2.09,17,0,20,0,65,37,0,0.28664,0,13.54606,0.00427,3.56057,0.04699,0.25885,not admissible
Eastern,Nabikoote,Iganga,Nabikoote Primary Sch Borehole DWD 24675,E23/00085,Bore Hole,553607,77104,0.697558904,33.48178233,0,5.2,108,1.91,3,0,33,0,27,9.6,0,0.05591,0,4.28733,0.00253,4.78982,0.002,0.08941,not admissible
Eastern,Busei,Iganga,Busei Shallow well,E23/00087,Unprotected Spring Well,555219,68380,0.618631709,33.4962617,0,5.4,276,1.85,2,0,48,0,50,30,0,0.08272,0,24.66327,0.00418,9.70475,0.002,0.03739,not admissible
Central,Bumbajje,Mukono,katwe protected spring ,E23/00118,Protected Spring Well,484934,27298,0.24697286,32.86460454,0,4.7,55,2.26,13,0,13,0,37,9.4,0,0.05034,0,2.50244,0.00324,3.04827,0.00132,0.03042,not admissible
Central,Kiyoora,Mukono,Kiyoora health centre Borehole,E23/00119,Bore Hole,484135,28694,0.259602792,32.85742394,0,5.2,47,58.6,621,0,6.2,0,21,9.8,0,0.18287,0,8.28065,0.0018,0.15824,0.7069,0.13696,not admissible
Central,Bulonda,Mukono,Bulonda protected spring MKN/04/231,E23/00121,Protected Spring Well,480003,28177,0.254924879,32.82029054,0,4.5,90,1.92,2,0,5,0,13,7.8,0,0.08335,0,1.42719,0.00299,6.85782,0.002,0.02371,not admissible
Central,Katosi,Mukono,Katosi Borehole,E23/00122,Bore Hole,477748,16822,0.152192974,32.8000266,0,4.9,434,1.93,0.2432,0,8.4,0,67,44,0,0.09733,0,6.75086,0.00484,26.61152,0.0145,0.04084,not admissible
Central,Nakisunga,Mukono,Nakisunga protected spring MKN/04/395,E23/00127,Protected Spring Well,477209,31013,0.280582512,32.79518104,0,4.7,43,2.34,18,0,8.8,0,11,7.8,0,0.0809,0,1.58269,0.00234,1.82294,0.04734,0.01742,not admissible
Central,Kisilamu,Mukono,Oluzi lwa mulule protected spring,E23/00128,Protected Spring Well,475151,34025,0.307832465,32.77668568,0,4.8,96,2.1,5,0,17,0,24,13,0,0.11563,0,5.23856,0.00249,5.30713,0.00428,0.04775,not admissible
Central,Kitega Wanton,Mukono,Kitega Wanton protected spring,E23/00129,Protected Spring Well,473559,38474,0.348083291,32.76237774,0,5.1,122,2.84,29,0,15,0,30,15,0,0.1172,0,2.75104,0.00566,5.17801,0.12644,0.04336,not admissible
Central,Upper Kauga,Mukono,Upper Kauga borehole ,E23/00074,Bore Hole,471067,40346,0.365019085,32.73998209,0,5.4,122,1.76,2,0,32,0,26,18,0,0.11354,0,1.72234,0.00832,6.14054,0.02089,0.11609,not admissible
Central,Vuumba,Luweero,Vuumba Community borehole,E22/09382,Bore Hole,0.605723,32.676042,0.000294718,28.51126154,1,6.57,286,1.7,1,200.2,46,56.12,86.2,44.2,42,0.41131,18.3249,14.03802,0.00496,15.10519,0.04848,0.46958,not admissible
Central,Ndeeba Kakoni,Luweero,Ndeeba Masjid Noor shallow well,E22/09383,Unprotected Spring Well,0.614298,32.68916,0.000294836,28.51126162,44,6.45,169.9,1.6,13,118.93,51,62.22,41.2,21.2,20,0.36076,1.55855,20.59539,0.00263,4.62426,0.08792,1.03224,not admissible
Central,Bulami,Luweero,Bulami community borehole,E22/09384,Bore Hole,0.632672,32.700623,0.000294939,28.51126178,1,6.64,108.5,1.9,14,75.95,37,45.14,33.4,16.4,17,0.20522,0.67499,0.80816,0.02196,3.84813,0.03488,0.33294,not admissible
Central,Kajjawo,Luweero,Kajjawo community borehole,E22/09385,Unprotected Spring Well,0.626347,32.707973,0.000295006,28.51126173,1,5.27,187.8,1.4,8,131.46,13,15.86,29.8,15.2,14.6,0.09463,14.52271,24.96521,0.00739,10.01999,0.14477,0.17133,not admissible
Central,Zirobwe,Luweero,Zirobwe Masjid Taqwa shallow well,E22/09387,Unprotected Spring Well,0.681463,32.699047,0.000294925,28.51126222,0,6.5,1220,1.7,19,854,150,183,357.2,165.8,191.4,0.42447,173.8706,43.43394,2.30315,37.79263,0.1207,0.3615,not admissible
Central,Namakofu,Luweero,Namakofu shallow well,E22/09390,Unprotected Spring Well,0.67265,32.674879,0.000294707,28.51126214,1,6.74,331,2.3,12,231.7,100,122,82.6,51.8,30.8,0.77834,8.29878,36.57894,0.00639,6.15709,0.0675,0.55491,not admissible
Central,Namawojja,Luweero,NWSC Zirobwe resovior,E22/09391,Tap,0.665295,32.666728,0.000294634,28.51126208,1,6.48,446,1.7,1,312.2,130,158.6,144.4,77.2,67.2,0.73177,27.63186,39.77444,0.00258,8.68669,0.06563,0.35988,not admissible
Central,Tawalulwa,Luweero,NWSC Zirobwe PSP,E22/09392,Bore Hole,0.663028,32.64662,0.000294452,28.51126206,1,6.38,302,1.9,7,211.4,110,134.2,102,46.6,55.4,0.45675,9.85516,27.66709,0.00194,3.21673,0.07008,0.38789,not admissible
Central,Nampunge,Luweero,Nampunge community borehole,E22/09393,Bore Hole,0.661952,32.644702,0.000294435,28.51126205,1,5.73,172.1,2,0.2432,120.47,43,52.46,38.4,17.8,20.6,0.20116,4.17567,14.80111,0.00281,4.49735,0.09176,0.21943,not admissible
Central,Lutete,Luweero,Lutete community borehole,E22/09394,Bore Hole,0.666747,32.614158,0.000294159,28.51126209,1,5.17,291,1.2,0.2432,203.7,24,29.28,71.2,32.8,38.4,0.15168,45.38383,16.03626,0.00281,9.47204,0.22752,0.38024,not admissible
Central,Kaliro katono,Luweero,Kaliro katono community borehole - DWD 17219,E22/09398,Bore Hole,0.712023,32.58277,0.000293876,28.51126249,1,6.71,642,1.7,0.2432,449.4,120,146.4,191,88.6,102.4,0.26116,18.39939,8.93293,0.02791,9.16832,0.05601,0.30606,not admissible
Central,Wobulenzi,Luweero,Wobulenzi community borehole,E22/09399,Bore Hole,0.714815,32.534558,0.000293441,28.51126252,1,5.81,303,16,5,212.1,36,43.92,89.8,39,50.8,0.04588,0.3316,0.79032,0.00225,0.03692,0.04618,0.17013,not admissible
Central,Galuweero,Luweero,NWSC Luweero Kiosk,E22/09420,Tap,0.847233,32.481705,0.000292965,28.51126371,1,6.26,277,1.9,4,193.9,72,87.84,40,22.6,17.4,0.21946,26.19005,13.49775,0.00412,5.09561,0.08118,0.26532,not admissible
Central,Lumu,Luweero,NWSC Luweero Final treated water,E22/09421,Tap,0.842237,32.492723,0.000293064,28.51126366,1,6.44,278,1.8,0.2432,194.6,70,85.4,78.6,42.2,36.4,0.23203,26.36292,14.59248,0.00238,4.87447,0.06095,0.28844,not admissible
Central,Bulyake,Nakaseke,Bulyake village borehole - DWD 32323,E22/09400,Bore Hole,0.721368,32.480843,0.000292957,28.51126258,1,6,235,13,7,164.5,78,95.16,69,38,31,0.21303,5.45488,17.79477,0.01191,1.48263,0.1971,0.20126,not admissible
Central,Namasujja A,Nakaseke,Namasujja A community borehole,E22/09401,Bore Hole,0.72946,32.474103,0.000292896,28.51126265,1,5.61,264,3,0.2432,184.8,48,58.56,90.2,28.8,61.4,1.10427,26.99087,9.59994,0.01132,2.07212,0.03498,0.21356,not admissible
Central,Namasujja A,Nakaseke,Namasujja A community borehole,E22/09401,Bore Hole,0.726038,32.4731655,0.000292896,28.51126265,1,5.31,126.7,1.9,0.2432,88.69,17,20.74,26,12.2,13.8,0.202,3.56735,5.92449,0.02316,0.95399,0.06833,0.17361,not admissible
Central,Kaasangombe,Nakaseke,Kaasangombe community borehole,E22/09403,Bore Hole,0.738432,32.462983,0.000292796,28.51126273,1,6.47,287,1.6,0.2432,200.9,105,128.1,120,41.2,78.8,0.18204,11.17057,11.21301,0.00872,5.63705,0.08723,0.1753,not admissible
Central,Nambega,Nakaseke,Nambega village borehole,E22/09405,Bore Hole,0.74084,32.419403,0.000292403,28.51126275,1,6.72,259,9.3,39,181.3,105,128.1,80.6,63.4,17.2,0.2215,9.09889,15.13232,0.003,7.00937,0.06554,0.25961,not admissible
Central,Kiziba,Nakaseke,St. Joseph Kiziba R/C P/School borehole,E22/09408,Bore Hole,0.729647,32.401072,0.000292237,28.51126265,1,6.31,151.4,7.6,0.2432,105.98,51,62.22,41.6,18.4,23.2,0.20848,5.1866,16.87301,0.01114,1.40237,0.04523,0.17298,not admissible
Central,Lufula zone,Nakaseke,Lufula zone community borehole,E22/09409,Bore Hole,0.72159,32.400658,0.000292234,28.51126258,1,6.85,507,2.1,0.2432,354.9,195,237.9,153.8,65.8,88,1.07831,27.59255,37.65802,0.01312,2.14827,0.08325,0.18601,not admissible
Central,Church zone,Nakaseke,St. Paul COU borehole,E22/09410,Bore Hole,0.726592,32.407033,0.000292291,28.51126262,1,5.84,160.5,21,1,112.35,65,79.3,154.2,67.4,86.8,0.22763,3.75531,10.3992,0.02339,0.81859,0.10292,0.17207,not admissible
Central,Kasambya A,Nakaseke,Kasambya village shallow well,E22/09412,Unprotected Spring Well,0.770128,32.407892,0.000292299,28.51126301,32,5.81,70,12,210,49,19,23.18,43.8,15.8,28,0.1025,6.4142,2.62863,0.00379,1.43968,0.06578,0.22459,not admissible
Central,Kasambya A,Nakaseke,Kasambya village shallow well,E22/09412,Unprotected Spring Well,0.765537,32.408732,0.000292299,28.51126301,1,5.85,188.6,2.7,12,132.02,70,85.4,27.6,6.2,21.4,0.20169,7.60436,1.14147,0.01078,2.35765,0.0453,0.19975,not admissible
Central,Kamuli,Nakaseke,Kamuli community P/Sch. Borehole,E22/09414,Bore Hole,0.79153,32.399405,0.000292222,28.51126321,1,5.77,203.2,1.9,8,142.24,53,64.66,47.2,23.2,24,0.22966,9.0262,15.57199,0.00245,6.23732,0.05197,0.25396,not admissible
Central,Lwabijogo,Nakaseke,Uganda Matyrs Catholic parish borehole,E22/09416,Bore Hole,0.833147,32.365718,0.000291919,28.51126358,1,6.25,249,1.2,1,174.3,105,128.1,66,31.8,34.2,0.38535,3.53109,21.21111,0.00268,1.4576,0.02906,0.27007,not admissible
Central,Nakaseta zone,Nakaseke,Kiwoko borehole,E22/09417,Bore Hole,0.841738,32.363862,0.000291902,28.51126366,1,6.92,240,3.8,14,168,62,75.64,79.2,39.2,40,0.18189,6.60401,33.75182,0.01304,7.42631,-0.00623,0.14626,not admissible
Central,Central zone,Nakaseke,Kiwoko cenetral borehole,E22/09418,Bore Hole,0.843922,32.364662,0.000291909,28.51126368,1,6.2,347,2.1,4,242.9,92,112.24,56,32.2,23.8,0.26532,11.56756,26.34086,0.00522,8.96466,0.04094,0.25012,not admissible
Central,Magoma,Nakaseke,Magoma R/C P/School borehole - DWD 51413,E22/09419,Bore Hole,0.8465,32.391598,0.000292152,28.5112637,1,6.54,166.6,1.8,3,116.62,55,67.1,101.2,48.2,53,0.26067,0.87978,24.81616,0.00679,2.4739,0.03355,0.31084,not admissible
Central,Kalina zone,Nakasongola,NWSC Kakooge PSP,E22/09422,Tap,1.052127,32.467492,0.000292837,28.51126554,1,7.35,420,1.8,0.2432,294,220,268.4,170.2,86,84.2,1.63313,3.32715,1.52247,0.00463,0.20578,0.03327,0.17559,not admissible
Central,Katugo,Nakasongola,Katugo private water supply system,E22/09423,Tap,1.156917,32.464505,0.00029281,28.51126648,0,6.73,867,2,0.2432,606.9,135,164.7,328.2,146,182.2,0.57474,157.8716,60.28844,0.00441,6.17978,0.03644,0.48381,admissible
Central,Kyankanwa,Nakasongola,Kyankanwa village borehole,E22/09424,Bore Hole,1.198533,32.463472,0.0002928,28.51126685,1,6.8,498,1.9,0.2432,348.6,115,140.3,162.4,84.4,78,0.37793,61.62422,17.80692,0.00926,7.90487,0.09276,0.33207,not admissible
Central,Wabigalo,Nakasongola,NWSC Nakasongola PSP,E22/09425,Tap,1.25125,32.458779,0.000292758,28.51126733,1,6.77,141.5,2.4,21,99.05,40,48.8,38.2,18.8,19.4,0.34141,11.53516,0.55631,0.00247,0.9069,0.06189,0.30125,not admissible
Central,Kansirye,Nakasongola,NWSC Nakasongola Kiosk,E22/09426,Tap,1.294542,32.464752,0.000292812,28.51126771,10,6.57,134.9,2.6,25,94.43,40,48.8,36.6,17.8,18.8,0.20278,10.88303,0.61037,0.00216,0.21933,0.08306,0.15353,not admissible
Central,Nakasongola A,Nakasongola,Nakasongola A village borehole,E22/09427,Bore Hole,1.308018,32.465283,0.000292817,28.51126783,1,6.56,334,1.8,3,233.8,120,146.4,98.6,48.4,50.2,0.31604,31.06985,1.02528,0.00362,6.71163,0.04876,0.36045,not admissible
